
Dunn Index
              comp          ave        cent
sin   0.0002950273 0.0008473131 0.001117693
comp  0.4461604665 1.2813648752 1.690251993
ave   0.2714302897 0.7795429344 1.028297267
cent  0.2714302891 0.7795429329 1.028297265
aveto 0.2714302895 0.7795429339 1.028297266
haus  0.2747977155 0.7892141211 1.041054556

Davies Index
             comp         ave        cent
sin   851.1354963 232.5182113 170.8215256
comp    0.9972507   0.3259389   0.2448231
ave     2.1571275   0.6642960   0.4940403
cent    2.1571275   0.6642960   0.4940403
aveto   2.1571275   0.6642960   0.4940403
haus    2.0333075   0.6513069   0.4895295

Silhouette Coefficient
[1] 0.8031934
