    support confidence     lift      leverage   jaccard
1 0.9696002  0.9696002 1.000000 -1.110223e-16 0.9696002
2 0.9797244  0.9797244 1.000000 -1.110223e-16 0.9797244
3 0.9500303  0.9798165 1.000094  8.933583e-05 0.9507012
4 0.9500303  0.9696914 1.000094  8.933583e-05 0.9507012
