     support confidence     lift leverage   jaccard
114    0.110  0.8800000 3.591837 0.079375 0.4230769
115    0.090  0.8571429 3.428571 0.063750 0.3396226
116    0.055  1.0000000 4.000000 0.041250 0.2200000
117    0.055  0.9166667 3.741497 0.040300 0.2200000
118    0.140  1.0000000 4.000000 0.105000 0.5600000
119    0.140  0.9655172 3.940887 0.104475 0.5600000
120    0.105  1.0000000 4.000000 0.078750 0.4200000
121    0.105  1.0000000 4.081633 0.079275 0.4285714
122    0.165  0.9705882 3.882353 0.122500 0.6470588
123    0.165  0.8918919 3.640375 0.119675 0.6226415
124    0.160  0.9696970 3.878788 0.118750 0.6274510
125    0.160  0.9142857 3.731778 0.117125 0.6153846
126    0.115  0.8846154 3.538462 0.082500 0.4339623
127    0.115  1.0000000 4.081633 0.086825 0.4693878
128    0.060  1.0000000 4.000000 0.045000 0.2400000
129    0.060  0.9230769 3.767661 0.044075 0.2400000
130    0.110  0.8800000 3.520000 0.078750 0.4150943
131    0.110  0.8800000 3.591837 0.079375 0.4230769
132    0.115  0.9583333 3.833333 0.085000 0.4509804
133    0.115  0.9200000 3.755102 0.084375 0.4509804
134    0.050  1.0000000 2.000000 0.025000 0.1000000
135    0.060  1.0000000 4.081633 0.045300 0.2448980
136    0.055  0.9166667 3.666667 0.040000 0.2156863
137    0.110  0.9565217 3.904170 0.081825 0.4400000
138    0.100  0.8695652 3.549246 0.071825 0.3846154
139    0.050  1.0000000 4.081633 0.037750 0.2040816
140    0.065  0.8666667 1.733333 0.027500 0.1274510
141    0.055  1.0000000 2.000000 0.027500 0.1100000
142    0.115  0.9200000 3.680000 0.083750 0.4423077
143    0.090  0.8571429 3.428571 0.063750 0.3396226
144    0.050  1.0000000 3.846154 0.037000 0.1923077
145    0.070  0.8750000 3.500000 0.050000 0.2692308
146    0.155  0.9687500 3.799020 0.114200 0.5961538
147    0.155  1.0000000 4.000000 0.116250 0.6200000
148    0.140  0.8750000 3.431373 0.099200 0.5090909
149    0.075  0.9375000 3.676471 0.054600 0.2884615
150    0.075  0.8823529 3.529412 0.053750 0.2884615
151    0.080  1.0000000 2.000000 0.040000 0.1600000
152    0.135  0.8709677 3.415560 0.095475 0.4909091
153    0.115  0.8846154 3.469080 0.081850 0.4259259
154    0.115  0.9583333 3.833333 0.085000 0.4509804
155    0.090  0.9473684 1.894737 0.042500 0.1782178
156    0.080  0.8888889 3.485839 0.057050 0.3018868
157    0.080  1.0000000 4.000000 0.060000 0.3200000
158    0.090  1.0000000 2.000000 0.045000 0.1800000
159    0.185  0.9736842 3.818369 0.136550 0.7115385
160    0.185  0.9736842 3.894737 0.137500 0.7254902
