     support confidence     lift leverage    jaccard
114    0.190  1.0000000 4.081633 0.143450 0.77551020
115    0.190  0.7755102 3.231293 0.131200 0.64406780
116    0.115  0.9583333 3.911565 0.085600 0.46000000
117    0.115  0.8214286 3.422619 0.081400 0.43396226
118    0.160  1.0000000 4.000000 0.120000 0.64000000
119    0.160  0.8421053 3.368421 0.112500 0.57142857
120    0.160  0.7804878 3.252033 0.110800 0.56140351
121    0.095  0.7916667 3.166667 0.065000 0.34545455
122    0.095  0.7600000 3.166667 0.065000 0.35185185
123    0.115  0.9583333 3.833333 0.085000 0.45098039
124    0.115  0.7931034 3.304598 0.080200 0.42592593
125    0.050  0.9090909 3.636364 0.036250 0.19607843
126    0.050  1.0000000 3.921569 0.037250 0.19607843
127    0.050  1.0000000 4.000000 0.037500 0.20000000
128    0.075  1.0000000 4.000000 0.056250 0.30000000
129    0.075  0.9375000 3.826531 0.055400 0.30000000
130    0.075  1.0000000 2.000000 0.037500 0.15000000
131    0.055  0.8461538 3.384615 0.038750 0.21153846
132    0.065  1.0000000 4.000000 0.048750 0.26000000
133    0.065  0.8666667 3.537415 0.046625 0.25490196
134    0.065  1.0000000 2.000000 0.032500 0.13000000
135    0.065  1.0000000 2.000000 0.032500 0.13000000
136    0.050  0.8333333 3.333333 0.035000 0.19230769
137    0.060  1.0000000 2.000000 0.030000 0.12000000
138    0.080  1.0000000 2.000000 0.040000 0.16000000
139    0.075  0.7894737 3.157895 0.051250 0.27777778
140    0.085  1.0000000 3.921569 0.063325 0.33333333
141    0.085  0.8500000 3.400000 0.060000 0.32075472
142    0.060  0.8000000 3.200000 0.041250 0.22641509
143    0.060  0.8000000 3.200000 0.041250 0.22641509
144    0.075  1.0000000 2.000000 0.037500 0.15000000
145    0.075  1.0000000 2.000000 0.037500 0.15000000
146    0.085  0.8500000 3.469388 0.060500 0.32692308
147    0.080  0.8000000 3.265306 0.055500 0.30188679
148    0.125  0.8928571 3.571429 0.090000 0.47169811
149    0.125  0.9259259 3.779289 0.091925 0.49019608
150    0.095  0.7916667 3.231293 0.065600 0.35185185
151    0.095  0.7600000 3.166667 0.065000 0.35185185
152    0.090  0.9000000 3.600000 0.065000 0.34615385
153    0.090  0.9000000 1.800000 0.040000 0.17647059
154    0.090  0.7500000 3.061224 0.060600 0.32727273
155    0.055  0.9166667 3.666667 0.040000 0.21568627
156    0.060  0.8000000 1.600000 0.022500 0.11650485
157    0.085  0.8500000 3.400000 0.060000 0.32075472
158    0.095  0.7916667 3.166667 0.065000 0.34545455
159    0.095  0.7600000 3.166667 0.065000 0.35185185
160    0.050  0.9090909 3.565062 0.035975 0.19230769
161    0.055  1.0000000 3.921569 0.040975 0.21568627
162    0.055  0.8461538 3.384615 0.038750 0.21153846
163    0.055  0.8461538 3.318250 0.038425 0.20754717
164    0.050  0.9090909 3.565062 0.035975 0.19230769
165    0.050  0.7692308 3.016591 0.033425 0.18518519
166    0.050  0.7692308 1.538462 0.017500 0.09708738
167    0.155  0.9117647 3.647059 0.112500 0.58490566
168    0.155  0.8157895 3.329753 0.108450 0.55357143
169    0.155  0.7750000 3.163265 0.106000 0.53448276
170    0.170  1.0000000 4.000000 0.127500 0.68000000
171    0.170  1.0000000 4.081633 0.128350 0.69387755
172    0.065  1.0000000 4.081633 0.049075 0.26530612
173    0.105  1.0000000 4.081633 0.079275 0.42857143
174    0.155  0.8157895 3.263158 0.107500 0.54385965
175    0.155  0.9117647 3.647059 0.112500 0.58490566
176    0.155  0.7560976 3.086112 0.104775 0.52542373
177    0.060  0.9230769 3.692308 0.043750 0.23529412
178    0.065  1.0000000 4.000000 0.048750 0.26000000
179    0.125  1.0000000 4.081633 0.094375 0.51020408
180    0.065  1.0000000 4.000000 0.048750 0.26000000
181    0.105  1.0000000 4.081633 0.079275 0.42857143
182    0.055  1.0000000 2.000000 0.027500 0.11000000
183    0.075  1.0000000 3.921569 0.055875 0.29411765
184    0.075  1.0000000 4.000000 0.056250 0.30000000
185    0.070  0.9333333 3.660131 0.050875 0.26923077
186    0.070  0.9333333 3.733333 0.051250 0.27450980
187    0.075  1.0000000 2.000000 0.037500 0.15000000
188    0.070  0.9333333 3.660131 0.050875 0.26923077
189    0.070  0.9333333 3.660131 0.050875 0.26923077
190    0.075  1.0000000 2.000000 0.037500 0.15000000
191    0.075  1.0000000 2.000000 0.037500 0.15000000
192    0.065  1.0000000 2.000000 0.032500 0.13000000
193    0.200  1.0000000 4.000000 0.150000 0.80000000
194    0.200  0.8163265 3.265306 0.138750 0.67796610
195    0.200  0.9756098 3.982081 0.149775 0.80000000
196    0.110  0.7857143 3.142857 0.075000 0.39285714
197    0.110  0.8800000 3.591837 0.079375 0.42307692
198    0.090  0.8571429 3.428571 0.063750 0.33962264
199    0.055  1.0000000 4.000000 0.041250 0.22000000
200    0.055  0.9166667 3.741497 0.040300 0.22000000
201    0.140  1.0000000 4.000000 0.105000 0.56000000
202    0.140  0.9655172 3.940887 0.104475 0.56000000
203    0.105  1.0000000 4.000000 0.078750 0.42000000
204    0.105  1.0000000 4.081633 0.079275 0.42857143
205    0.135  0.7941176 3.176471 0.092500 0.47368421
206    0.135  0.8181818 3.339518 0.094575 0.49090909
207    0.105  0.8076923 3.296703 0.073150 0.38888889
208    0.105  0.8400000 3.428571 0.074375 0.39622642
209    0.165  0.9705882 3.882353 0.122500 0.64705882
210    0.165  0.8918919 3.640375 0.119675 0.62264151
211    0.095  0.7600000 3.102041 0.064375 0.34545455
212    0.160  0.9696970 3.878788 0.118750 0.62745098
213    0.160  0.9142857 3.731778 0.117125 0.61538462
214    0.090  0.7500000 3.000000 0.060000 0.32142857
215    0.115  0.8846154 3.538462 0.082500 0.43396226
216    0.115  1.0000000 4.081633 0.086825 0.46938776
217    0.060  1.0000000 4.000000 0.045000 0.24000000
218    0.060  0.9230769 3.767661 0.044075 0.24000000
219    0.110  0.8800000 3.520000 0.078750 0.41509434
220    0.110  0.8800000 3.591837 0.079375 0.42307692
221    0.115  0.9583333 3.833333 0.085000 0.45098039
222    0.115  0.9200000 3.755102 0.084375 0.45098039
223    0.050  1.0000000 2.000000 0.025000 0.10000000
224    0.100  0.8000000 3.200000 0.068750 0.36363636
225    0.100  0.8333333 3.401361 0.070600 0.37735849
226    0.145  0.7631579 3.052632 0.097500 0.49152542
227    0.145  0.7837838 3.135135 0.098750 0.50000000
228    0.145  0.8285714 3.381924 0.102125 0.52727273
229    0.060  0.8000000 3.200000 0.041250 0.22641509
230    0.060  1.0000000 4.081633 0.045300 0.24489796
231    0.055  0.9166667 3.666667 0.040000 0.21568627
232    0.110  0.8461538 3.384615 0.077500 0.40740741
233    0.110  0.9565217 3.904170 0.081825 0.44000000
234    0.100  0.8000000 3.200000 0.068750 0.36363636
235    0.100  0.8695652 3.549246 0.071825 0.38461538
236    0.050  1.0000000 4.081633 0.037750 0.20408163
237    0.100  0.7692308 3.076923 0.067500 0.35714286
238    0.100  0.8000000 3.265306 0.069375 0.37037037
239    0.065  0.8666667 1.733333 0.027500 0.12745098
240    0.055  1.0000000 2.000000 0.027500 0.11000000
241    0.115  0.9200000 3.680000 0.083750 0.44230769
242    0.115  0.7931034 3.172414 0.078750 0.41071429
243    0.090  0.8571429 3.428571 0.063750 0.33962264
244    0.050  1.0000000 3.846154 0.037000 0.19230769
245    0.070  0.8750000 3.500000 0.050000 0.26923077
246    0.070  0.7777778 3.111111 0.047500 0.25925926
247    0.155  0.9687500 3.799020 0.114200 0.59615385
248    0.155  1.0000000 4.000000 0.116250 0.62000000
249    0.140  0.8750000 3.431373 0.099200 0.50909091
250    0.080  0.8421053 3.368421 0.056250 0.30188679
251    0.090  0.7500000 3.000000 0.060000 0.32142857
252    0.065  0.8125000 3.186275 0.044600 0.24074074
253    0.065  0.8125000 3.250000 0.045000 0.24528302
254    0.075  0.9375000 3.676471 0.054600 0.28846154
255    0.075  0.8823529 3.529412 0.053750 0.28846154
