    support confidence     lift leverage   jaccard
133   0.115          1 4.166667 0.087400 0.4791667
134   0.090          1 4.000000 0.067500 0.3600000
135   0.090          1 4.166667 0.068400 0.3750000
136   0.050          1 4.000000 0.037500 0.2000000
137   0.050          1 4.081633 0.037750 0.2040816
138   0.050          1 2.000000 0.025000 0.1000000
139   0.050          1 4.081633 0.037750 0.2040816
140   0.050          1 2.000000 0.025000 0.1000000
141   0.050          1 4.000000 0.037500 0.2000000
142   0.130          1 4.081633 0.098150 0.5306122
143   0.140          1 4.000000 0.105000 0.5600000
144   0.140          1 4.081633 0.105700 0.5714286
145   0.065          1 4.081633 0.049075 0.2653061
146   0.065          1 4.166667 0.049400 0.2708333
147   0.075          1 4.081633 0.056625 0.3061224
148   0.130          1 4.000000 0.097500 0.5200000
149   0.065          1 4.000000 0.048750 0.2600000
150   0.065          1 4.166667 0.049400 0.2708333
151   0.065          1 4.081633 0.049075 0.2653061
152   0.065          1 4.000000 0.048750 0.2600000
153   0.065          1 4.166667 0.049400 0.2708333
154   0.075          1 4.081633 0.056625 0.3061224
155   0.160          1 4.000000 0.120000 0.6400000
156   0.160          1 4.081633 0.120800 0.6530612
157   0.095          1 4.081633 0.071725 0.3877551
158   0.065          1 4.081633 0.049075 0.2653061
159   0.115          1 4.000000 0.086250 0.4600000
160   0.115          1 4.081633 0.086825 0.4693878
161   0.075          1 4.000000 0.056250 0.3000000
162   0.075          1 4.081633 0.056625 0.3061224
163   0.095          1 4.000000 0.071250 0.3800000
164   0.065          1 4.000000 0.048750 0.2600000
165   0.075          1 2.000000 0.037500 0.1500000
166   0.075          1 4.000000 0.056250 0.3000000
167   0.055          1 4.000000 0.041250 0.2200000
168   0.055          1 2.000000 0.027500 0.1100000
169   0.065          1 2.000000 0.032500 0.1300000
170   0.065          1 4.000000 0.048750 0.2600000
171   0.050          1 2.000000 0.025000 0.1000000
172   0.050          1 3.921569 0.037250 0.1960784
173   0.050          1 4.000000 0.037500 0.2000000
174   0.055          1 3.921569 0.040975 0.2156863
175   0.055          1 3.921569 0.040975 0.2156863
176   0.060          1 2.000000 0.030000 0.1200000
177   0.085          1 4.000000 0.063750 0.3400000
178   0.080          1 4.000000 0.060000 0.3200000
179   0.075          1 4.081633 0.056625 0.3061224
180   0.070          1 2.000000 0.035000 0.1400000
181   0.070          1 4.081633 0.052850 0.2857143
182   0.050          1 3.921569 0.037250 0.1960784
183   0.155          1 4.000000 0.116250 0.6200000
184   0.155          1 4.081633 0.117025 0.6326531
185   0.065          1 4.000000 0.048750 0.2600000
186   0.065          1 4.081633 0.049075 0.2653061
187   0.090          1 4.081633 0.067950 0.3673469
188   0.065          1 4.000000 0.048750 0.2600000
189   0.065          1 4.081633 0.049075 0.2653061
190   0.105          1 4.000000 0.078750 0.4200000
191   0.105          1 4.081633 0.079275 0.4285714
192   0.105          1 4.081633 0.079275 0.4285714
193   0.065          1 4.000000 0.048750 0.2600000
194   0.065          1 4.000000 0.048750 0.2600000
195   0.090          1 4.081633 0.067950 0.3673469
196   0.060          1 2.000000 0.030000 0.1200000
197   0.060          1 4.081633 0.045300 0.2448980
198   0.070          1 3.921569 0.052150 0.2745098
199   0.070          1 4.000000 0.052500 0.2800000
200   0.075          1 2.000000 0.037500 0.1500000
201   0.075          1 3.921569 0.055875 0.2941176
202   0.075          1 4.000000 0.056250 0.3000000
203   0.070          1 2.000000 0.035000 0.1400000
204   0.070          1 2.000000 0.035000 0.1400000
205   0.110          1 4.000000 0.082500 0.4400000
206   0.090          1 4.000000 0.067500 0.3600000
207   0.090          1 4.081633 0.067950 0.3673469
208   0.075          1 4.081633 0.056625 0.3061224
209   0.100          1 4.081633 0.075500 0.4081633
210   0.075          1 4.000000 0.056250 0.3000000
211   0.080          1 4.081633 0.060400 0.3265306
