  support confidence     lift leverage   jaccard
1   0.065  0.9285714 1.857143   0.0300 0.1287129
2   0.075  0.7894737 1.578947   0.0275 0.1442308
3   0.085  0.7083333 1.416667   0.0250 0.1588785
4   0.050  1.0000000 2.000000   0.0250 0.1000000
