  support confidence     lift leverage   jaccard
1   0.200          1 2.469136  0.11900 0.4938272
2   0.275          1 2.857143  0.17875 0.7857143
3   0.270          1 2.857143  0.17550 0.7714286
4   0.260          1 2.857143  0.16900 0.7428571
5   0.255          1 2.857143  0.16575 0.7285714
