     support confidence      lift leverage    jaccard
114    0.055  1.0000000  5.882353 0.045650 0.32352941
115    0.055  1.0000000  3.846154 0.040700 0.21153846
116    0.055  0.9166667  5.392157 0.044800 0.31428571
117    0.050  0.9090909  1.818182 0.022500 0.09900990
118    0.050  0.9090909  5.347594 0.040650 0.28571429
119    0.055  1.0000000  3.846154 0.040700 0.21153846
120    0.055  0.9166667  5.238095 0.044500 0.30555556
121    0.050  0.9090909  1.818182 0.022500 0.09900990
122    0.050  0.9090909  5.194805 0.040375 0.27777778
123    0.055  0.9166667  1.833333 0.025000 0.10891089
124    0.055  1.0000000  3.846154 0.040700 0.21153846
125    0.100  1.0000000  8.695652 0.088500 0.86956522
126    0.100  1.0000000  8.695652 0.088500 0.86956522
127    0.100  0.9090909  8.264463 0.087900 0.83333333
128    0.100  1.0000000  8.000000 0.087500 0.80000000
129    0.100  0.9090909  7.905138 0.087350 0.80000000
130    0.100  0.9090909  8.264463 0.087900 0.83333333
131    0.100  1.0000000  7.142857 0.086000 0.71428571
132    0.100  0.9090909  7.905138 0.087350 0.80000000
133    0.100  0.9090909  8.264463 0.087900 0.83333333
134    0.100  1.0000000  3.846154 0.074000 0.38461538
135    0.100  0.9090909  7.905138 0.087350 0.80000000
136    0.100  0.8695652  7.905138 0.087350 0.80000000
137    0.060  1.0000000  8.695652 0.053100 0.52173913
138    0.060  0.8571429  7.792208 0.052300 0.50000000
139    0.100  1.0000000  8.000000 0.087500 0.80000000
140    0.100  0.9090909  7.905138 0.087350 0.80000000
141    0.100  0.9523810  8.658009 0.088450 0.86956522
142    0.100  1.0000000  7.142857 0.086000 0.71428571
143    0.100  0.9090909  7.905138 0.087350 0.80000000
144    0.100  0.8695652  7.905138 0.087350 0.80000000
145    0.100  1.0000000  3.846154 0.074000 0.38461538
146    0.100  0.9090909  7.905138 0.087350 0.80000000
147    0.100  0.8695652  7.905138 0.087350 0.80000000
148    0.060  1.0000000  8.695652 0.053100 0.52173913
149    0.060  0.9230769  8.391608 0.052850 0.52173913
150    0.110  1.0000000  7.142857 0.094600 0.78571429
151    0.110  1.0000000  8.000000 0.096250 0.88000000
152    0.110  0.9166667  8.333333 0.096800 0.91666667
153    0.110  1.0000000  3.846154 0.081400 0.42307692
154    0.110  1.0000000  8.000000 0.096250 0.88000000
155    0.110  0.8800000  8.000000 0.096250 0.88000000
156    0.060  1.0000000  8.000000 0.052500 0.48000000
157    0.060  0.8571429  7.792208 0.052300 0.50000000
158    0.050  1.0000000  8.000000 0.043750 0.40000000
159    0.050  0.9090909  8.264463 0.043950 0.43478261
160    0.110  1.0000000  3.846154 0.081400 0.42307692
161    0.110  1.0000000  7.142857 0.094600 0.78571429
162    0.110  0.7857143  7.142857 0.094600 0.78571429
163    0.060  1.0000000  7.142857 0.051600 0.42857143
164    0.060  0.9230769  8.391608 0.052850 0.52173913
165    0.050  1.0000000  7.142857 0.043000 0.35714286
166    0.050  0.6666667  6.060606 0.041750 0.37037037
167    0.060  1.0000000  3.846154 0.044400 0.23076923
168    0.050  1.0000000  3.846154 0.037000 0.19230769
169    0.105  0.9545455  7.636364 0.091250 0.80769231
170    0.105  0.9545455  8.300395 0.092350 0.87500000
171    0.105  1.0000000  8.695652 0.092925 0.91304348
172    0.110  1.0000000  7.142857 0.094600 0.78571429
173    0.110  1.0000000  8.695652 0.097350 0.95652174
174    0.110  0.9565217  8.317580 0.096775 0.91666667
175    0.110  1.0000000  3.846154 0.081400 0.42307692
176    0.110  0.9565217  8.317580 0.096775 0.91666667
177    0.110  0.9565217  8.317580 0.096775 0.91666667
178    0.065  0.9285714  8.074534 0.056950 0.54166667
179    0.065  1.0000000  8.695652 0.057525 0.56521739
180    0.105  0.9545455  6.818182 0.089600 0.72413793
181    0.105  0.9545455  7.636364 0.091250 0.80769231
182    0.105  0.8750000  7.608696 0.091200 0.80769231
183    0.110  1.0000000  3.846154 0.081400 0.42307692
184    0.110  0.9565217  7.652174 0.095625 0.84615385
185    0.110  0.8800000  7.652174 0.095625 0.84615385
186    0.070  1.0000000  8.000000 0.061250 0.56000000
187    0.070  1.0000000  8.695652 0.061950 0.60869565
188    0.110  1.0000000  3.846154 0.081400 0.42307692
189    0.110  0.9565217  6.832298 0.093900 0.75862069
190    0.110  0.7857143  6.832298 0.093900 0.75862069
191    0.065  0.9285714  6.632653 0.055200 0.44827586
192    0.065  1.0000000  8.695652 0.057525 0.56521739
193    0.070  1.0000000  3.846154 0.051800 0.26923077
194    0.105  1.0000000  7.142857 0.090300 0.75000000
195    0.105  0.9130435  7.304348 0.090625 0.77777778
196    0.105  0.8750000  7.608696 0.091200 0.80769231
197    0.105  1.0000000  3.846154 0.077700 0.40384615
198    0.105  0.9130435  7.304348 0.090625 0.77777778
199    0.105  0.8400000  7.304348 0.090625 0.77777778
200    0.065  1.0000000  8.000000 0.056875 0.52000000
201    0.065  0.9285714  8.074534 0.056950 0.54166667
202    0.115  1.0000000  3.846154 0.085100 0.44230769
203    0.115  1.0000000  7.142857 0.098900 0.82142857
204    0.115  0.8214286  7.142857 0.098900 0.82142857
205    0.065  1.0000000  7.142857 0.055900 0.46428571
206    0.065  1.0000000  8.695652 0.057525 0.56521739
207    0.050  1.0000000  7.142857 0.043000 0.35714286
208    0.050  0.6666667  5.797101 0.041375 0.35714286
209    0.065  1.0000000  3.846154 0.048100 0.25000000
210    0.050  1.0000000  3.846154 0.037000 0.19230769
211    0.120  1.0000000  3.846154 0.088800 0.46153846
212    0.120  0.9600000  6.857143 0.102500 0.82758621
213    0.120  0.8571429  6.857143 0.102500 0.82758621
214    0.065  0.9285714  6.632653 0.055200 0.44827586
215    0.065  1.0000000  8.000000 0.056875 0.52000000
216    0.055  1.0000000  7.142857 0.047300 0.39285714
217    0.055  0.7333333  5.866667 0.045625 0.37931034
218    0.070  1.0000000  3.846154 0.051800 0.26923077
219    0.055  1.0000000  3.846154 0.040700 0.21153846
220    0.120  0.9600000  5.647059 0.098750 0.68571429
221    0.120  0.9600000  5.818182 0.099375 0.70588235
222    0.120  0.7741935  5.955335 0.099850 0.72727273
223    0.125  1.0000000  5.714286 0.103125 0.71428571
224    0.125  0.9615385  5.827506 0.103550 0.73529412
225    0.125  0.8064516  6.203474 0.104850 0.78125000
226    0.125  1.0000000  3.846154 0.092500 0.48076923
227    0.125  0.9615385  5.827506 0.103550 0.73529412
228    0.125  0.8064516  6.203474 0.104850 0.78125000
229    0.075  0.9375000  5.681818 0.061800 0.44117647
230    0.075  0.6818182  5.244755 0.060700 0.45454545
231    0.050  1.0000000  6.060606 0.041750 0.30303030
232    0.050  0.7142857  5.494505 0.040900 0.33333333
233    0.075  0.9375000  5.681818 0.061800 0.44117647
234    0.075  0.7894737  6.072874 0.062650 0.50000000
235    0.125  1.0000000  5.714286 0.103125 0.71428571
236    0.125  0.9615385  5.656109 0.102900 0.71428571
237    0.125  0.7575758  5.827506 0.103550 0.73529412
238    0.125  1.0000000  3.846154 0.092500 0.48076923
239    0.125  0.9615385  5.656109 0.102900 0.71428571
240    0.125  0.7812500  6.009615 0.104200 0.75757576
241    0.075  0.9375000  5.514706 0.061400 0.42857143
242    0.075  0.6521739  5.016722 0.060050 0.44117647
243    0.050  1.0000000  5.882353 0.041500 0.29411765
244    0.075  0.9375000  5.514706 0.061400 0.42857143
245    0.075  0.8333333  6.410256 0.063300 0.51724138
246    0.130  1.0000000  3.846154 0.096200 0.50000000
247    0.130  1.0000000  5.714286 0.107250 0.74285714
248    0.130  0.7878788  6.060606 0.108550 0.78787879
249    0.080  1.0000000  5.714286 0.066000 0.45714286
250    0.080  0.6666667  5.128205 0.064400 0.47058824
251    0.050  1.0000000  5.714286 0.041250 0.28571429
252    0.080  1.0000000  5.714286 0.066000 0.45714286
253    0.080  0.8421053  6.477733 0.067650 0.55172414
254    0.080  1.0000000  3.846154 0.059200 0.30769231
255    0.050  1.0000000  3.846154 0.037000 0.19230769
256    0.080  1.0000000  3.846154 0.059200 0.30769231
257    0.075  0.9375000  1.875000 0.035000 0.14851485
258    0.075  0.9375000  2.500000 0.045000 0.19736842
259    0.065  1.0000000  3.846154 0.048100 0.25000000
260    0.075  1.0000000  3.846154 0.055500 0.28846154
261    0.150  0.9677419  5.529954 0.122875 0.83333333
262    0.150  0.9677419  5.692600 0.123650 0.85714286
263    0.150  0.9090909  5.509642 0.122775 0.83333333
264    0.145  0.9354839  3.598015 0.104700 0.53703704
265    0.145  0.9354839  5.502846 0.118650 0.80555556
266    0.145  0.9062500  5.492424 0.118600 0.80555556
267    0.100  0.9090909  5.347594 0.081300 0.55555556
268    0.100  0.8695652  5.270092 0.081025 0.55555556
269    0.070  1.0000000  5.882353 0.058100 0.41176471
270    0.070  0.8750000  5.303030 0.056800 0.40000000
271    0.085  0.8947368  5.263158 0.068850 0.47222222
272    0.085  0.9444444  5.723906 0.070150 0.50000000
273    0.145  0.9354839  3.598015 0.104700 0.53703704
274    0.145  0.9354839  5.345622 0.117875 0.78378378
275    0.145  0.8787879  5.325987 0.117775 0.78378378
276    0.100  0.9090909  5.194805 0.080750 0.54054054
277    0.100  0.8333333  5.050505 0.080200 0.54054054
278    0.070  1.0000000  5.714286 0.057750 0.40000000
279    0.070  0.8750000  5.303030 0.056800 0.40000000
280    0.085  0.8947368  5.112782 0.068375 0.45945946
281    0.085  0.8947368  5.422648 0.069325 0.48571429
282    0.100  0.9090909  3.496503 0.071400 0.37037037
283    0.060  0.8571429  3.296703 0.041800 0.22222222
284    0.095  1.0000000  3.846154 0.070300 0.36538462
285    0.095  0.7307692  4.428904 0.073550 0.47500000
286    0.090  0.8181818  1.636364 0.035000 0.17307692
287    0.090  0.9473684  2.526316 0.054375 0.23684211
288    0.155  0.9393939  3.613054 0.112100 0.57407407
289    0.155  0.9687500  5.535714 0.127000 0.86111111
290    0.155  0.9393939  5.525847 0.126950 0.86111111
291    0.110  0.6666667  1.777778 0.048125 0.25581395
292    0.110  0.9565217  5.465839 0.089875 0.61111111
293    0.110  0.9166667  5.392157 0.089600 0.61111111
294    0.080  1.0000000  5.714286 0.066000 0.45714286
295    0.080  1.0000000  5.882353 0.066400 0.47058824
296    0.085  0.9444444  5.396825 0.069250 0.47222222
297    0.085  0.8947368  5.263158 0.068850 0.47222222
298    0.105  0.6562500  1.750000 0.045000 0.24418605
299    0.105  0.9130435  3.511706 0.075100 0.38888889
300    0.070  0.8750000  3.365385 0.049200 0.25925926
301    0.090  1.0000000  3.846154 0.066600 0.34615385
302    0.090  0.6923077  4.072398 0.067900 0.42857143
303    0.085  0.7391304  1.478261 0.027500 0.16037736
304    0.085  0.9444444  2.518519 0.051250 0.22368421
305    0.110  0.6666667  1.777778 0.048125 0.25581395
306    0.110  0.9166667  3.525641 0.078800 0.40740741
307    0.070  0.8750000  3.365385 0.049200 0.25925926
308    0.095  1.0000000  3.846154 0.070300 0.36538462
309    0.095  0.7307692  4.175824 0.072250 0.45238095
310    0.090  0.7500000  1.500000 0.030000 0.16981132
311    0.090  0.9473684  2.526316 0.054375 0.23684211
312    0.150  1.0000000  2.857143 0.097500 0.42857143
313    0.150  0.8571429  2.721088 0.094875 0.44117647
314    0.135  0.9000000  2.535211 0.081750 0.36486486
315    0.135  0.8437500  2.678571 0.084600 0.39705882
316    0.140  0.9333333  2.557078 0.085250 0.37333333
317    0.140  0.8235294  2.614379 0.086450 0.40579710
318    0.140  0.9333333  2.196078 0.076250 0.32183908
319    0.140  0.7777778  2.469136 0.083300 0.39436620
320    0.080  0.6666667  2.116402 0.042200 0.22535211
321    0.060  0.8571429  2.348337 0.034450 0.16000000
322    0.060  0.7500000  2.173913 0.032400 0.16438356
323    0.060  0.8571429  2.169982 0.032350 0.14814815
324    0.060  0.6666667  1.932367 0.028950 0.16000000
325    0.140  0.8000000  2.253521 0.077875 0.35897436
326    0.140  0.8750000  2.500000 0.084000 0.37837838
327    0.150  0.8571429  2.348337 0.086125 0.38461538
328    0.150  0.8823529  2.521008 0.090500 0.40540541
329    0.160  0.9142857  2.151261 0.085625 0.36363636
330    0.160  0.8888889  2.539683 0.097000 0.43243243
331    0.100  0.8333333  2.380952 0.058000 0.27027027
332    0.150  0.9375000  2.568493 0.091600 0.40000000
333    0.150  0.8823529  2.485501 0.089650 0.40000000
334    0.160  1.0000000  2.352941 0.092000 0.37647059
335    0.160  0.8888889  2.503912 0.096100 0.42666667
336    0.100  0.8333333  2.347418 0.057400 0.26666667
337    0.155  0.9117647  2.145329 0.082750 0.35227273
338    0.155  0.8611111  2.359209 0.089300 0.39743590
339    0.095  0.7916667  2.168950 0.051200 0.24358974
340    0.060  0.7500000  2.000000 0.030000 0.15189873
341    0.060  1.0000000  2.739726 0.038100 0.16438356
342    0.065  0.8125000  2.056962 0.033400 0.15853659
343    0.065  0.7222222  1.978691 0.032150 0.16666667
344    0.060  0.7500000  1.500000 0.020000 0.11538462
345    0.050  0.8333333  2.109705 0.026300 0.12345679
346    0.060  1.0000000  2.000000 0.030000 0.12000000
347    0.065  0.7222222  1.783265 0.028550 0.15116279
348    0.065  1.0000000  2.531646 0.039325 0.16455696
349    0.120  0.6666667  1.333333 0.030000 0.21428571
350    0.120  1.0000000  2.352941 0.069000 0.28235294
351    0.165  0.9428571  2.583170 0.101125 0.44000000
352    0.165  0.9428571  2.732919 0.104625 0.46478873
353    0.100  0.8333333  2.415459 0.058600 0.27397260
354    0.175  1.0000000  2.531646 0.105875 0.44303797
355    0.175  0.8750000  2.536232 0.106000 0.47297297
356    0.175  1.0000000  2.469136 0.104125 0.43209877
357    0.175  0.8333333  2.415459 0.102550 0.46052632
358    0.075  0.6521739  2.717391 0.047400 0.26785714
359    0.110  0.9166667  2.657005 0.068600 0.30985915
360    0.055  1.0000000  2.000000 0.027500 0.11000000
361    0.090  0.7500000  2.054795 0.046200 0.22784810
362    0.175  1.0000000  2.531646 0.105875 0.44303797
363    0.175  0.8750000  2.397260 0.102000 0.44871795
364    0.175  1.0000000  2.469136 0.104125 0.43209877
365    0.175  0.8333333  2.283105 0.098350 0.43750000
366    0.085  0.7083333  1.940639 0.041200 0.21250000
367    0.085  0.7083333  2.951389 0.056200 0.30909091
368    0.120  0.6857143  1.371429 0.032500 0.21621622
