     support confidence      lift      leverage    jaccard
103    0.275  0.6470588  2.054155  1.411250e-01 0.59139785
104    0.165  0.5238095  1.047619  7.500000e-03 0.25384615
105    0.305  0.8840580  2.422077  1.790750e-01 0.75308642
106    0.305  0.8356164  2.422077  1.790750e-01 0.75308642
107    0.225  0.6521739  1.739130  9.562500e-02 0.45454545
108    0.225  0.6000000  1.739130  9.562500e-02 0.45454545
109    0.310  0.8985507  2.274812  1.737250e-01 0.72093023
110    0.310  0.7848101  2.274812  1.737250e-01 0.72093023
111    0.305  0.8840580  2.182859  1.652750e-01 0.68539326
112    0.305  0.7530864  2.182859  1.652750e-01 0.68539326
113    0.175  0.5072464  1.014493  2.500000e-03 0.26119403
114    0.295  0.8428571  2.374245  1.707500e-01 0.71951220
115    0.295  0.8309859  2.374245  1.707500e-01 0.71951220
116    0.295  0.8428571  2.309198  1.672500e-01 0.70238095
117    0.295  0.8082192  2.309198  1.672500e-01 0.70238095
118    0.300  0.8571429  2.016807  1.512500e-01 0.63157895
119    0.300  0.7058824  2.016807  1.512500e-01 0.63157895
120    0.180  0.5142857  1.028571  5.000000e-03 0.26865672
121    0.315  0.8873239  2.431025  1.854250e-01 0.77777778
122    0.315  0.8630137  2.431025  1.854250e-01 0.77777778
123    0.305  0.8591549  2.021541  1.541250e-01 0.64210526
124    0.305  0.7176471  2.021541  1.541250e-01 0.64210526
125    0.180  0.5070423  1.014085  2.500000e-03 0.26666667
126    0.305  0.8356164  1.966156  1.498750e-01 0.62886598
127    0.305  0.7176471  1.966156  1.498750e-01 0.62886598
128    0.185  0.5068493  1.013699  2.500000e-03 0.27205882
129    0.240  0.6575342  1.753425  1.031250e-01 0.48000000
130    0.240  0.6400000  1.753425  1.031250e-01 0.48000000
131    0.340  0.9315068  2.358245  1.958250e-01 0.80952381
132    0.340  0.8607595  2.358245  1.958250e-01 0.80952381
133    0.315  0.8630137  2.130898  1.671750e-01 0.69230769
134    0.315  0.7777778  2.130898  1.671750e-01 0.69230769
135    0.185  0.5068493  1.013699  2.500000e-03 0.27205882
136    0.245  0.6533333  1.654008  9.687500e-02 0.46666667
137    0.245  0.6202532  1.654008  9.687500e-02 0.46666667
138    0.270  0.7200000  1.777778  1.181250e-01 0.52941176
139    0.270  0.6666667  1.777778  1.181250e-01 0.52941176
140    0.225  0.6000000  1.200000  3.750000e-02 0.34615385
141    0.360  0.9113924  2.250352  2.000250e-01 0.81818182
142    0.360  0.8888889  2.250352  2.000250e-01 0.81818182
143    0.200  0.5063291  1.012658  2.500000e-03 0.28776978
144    0.215  0.5308642  1.061728  1.250000e-02 0.31159420
145    0.270  0.6352941  1.270588  5.750000e-02 0.41221374
146    0.270  0.5400000  1.270588  5.750000e-02 0.41221374
147    0.050  1.0000000  6.060606  4.175000e-02 0.30303030
148    0.050  0.9090909  6.993007  4.285000e-02 0.37037037
149    0.050  1.0000000  5.882353  4.150000e-02 0.29411765
150    0.050  0.9090909  6.993007  4.285000e-02 0.37037037
151    0.050  1.0000000  5.714286  4.125000e-02 0.28571429
152    0.050  0.9090909  6.993007  4.285000e-02 0.37037037
153    0.050  1.0000000  3.846154  3.700000e-02 0.19230769
154    0.050  0.8333333  6.410256  4.220000e-02 0.35714286
155    0.055  1.0000000  5.882353  4.565000e-02 0.32352941
156    0.055  1.0000000  6.060606  4.592500e-02 0.33333333
157    0.055  1.0000000  5.714286  4.537500e-02 0.31428571
158    0.055  1.0000000  6.060606  4.592500e-02 0.33333333
159    0.055  1.0000000  3.846154  4.070000e-02 0.21153846
160    0.055  0.9166667  5.555556  4.510000e-02 0.32352941
161    0.050  0.9090909  1.818182  2.250000e-02 0.09900990
162    0.050  0.9090909  5.509642  4.092500e-02 0.29411765
163    0.050  0.7142857 11.904762  4.580000e-02 0.62500000
164    0.055  1.0000000  5.714286  4.537500e-02 0.31428571
165    0.055  1.0000000  5.882353  4.565000e-02 0.32352941
166    0.055  1.0000000  3.846154  4.070000e-02 0.21153846
167    0.055  0.9166667  5.392157  4.480000e-02 0.31428571
168    0.050  0.9090909  1.818182  2.250000e-02 0.09900990
169    0.050  0.9090909  5.347594  4.065000e-02 0.28571429
170    0.050  0.6250000 10.416667  4.520000e-02 0.55555556
171    0.055  1.0000000  3.846154  4.070000e-02 0.21153846
172    0.055  0.9166667  5.238095  4.450000e-02 0.30555556
173    0.050  0.9090909  1.818182  2.250000e-02 0.09900990
174    0.050  0.9090909  5.194805  4.037500e-02 0.27777778
175    0.050  0.6250000 10.416667  4.520000e-02 0.55555556
176    0.055  0.9166667  1.833333  2.500000e-02 0.10891089
177    0.055  1.0000000  3.846154  4.070000e-02 0.21153846
178    0.100  1.0000000  8.695652  8.850000e-02 0.86956522
179    0.100  1.0000000  8.695652  8.850000e-02 0.86956522
180    0.100  0.9090909  8.264463  8.790000e-02 0.83333333
181    0.100  1.0000000  8.000000  8.750000e-02 0.80000000
182    0.100  0.9090909  7.905138  8.735000e-02 0.80000000
183    0.100  0.9090909  8.264463  8.790000e-02 0.83333333
184    0.100  1.0000000  7.142857  8.600000e-02 0.71428571
185    0.100  0.9090909  7.905138  8.735000e-02 0.80000000
186    0.100  0.9090909  8.264463  8.790000e-02 0.83333333
187    0.100  1.0000000  3.846154  7.400000e-02 0.38461538
188    0.100  0.9090909  7.905138  8.735000e-02 0.80000000
