     support confidence     lift leverage    jaccard
114    0.095  0.9047619 2.661064 0.059300 0.27142857
115    0.185  0.9736842 4.233410 0.141300 0.78723404
116    0.185  1.0000000 5.000000 0.148000 0.92500000
117    0.185  1.0000000 5.263158 0.149850 0.97368421
118    0.175  0.9210526 3.475670 0.124650 0.62500000
119    0.175  1.0000000 5.000000 0.140000 0.87500000
120    0.175  0.9722222 5.116959 0.140800 0.89743590
121    0.180  0.9473684 2.786378 0.115400 0.51428571
122    0.180  1.0000000 5.000000 0.144000 0.90000000
123    0.180  0.9473684 4.986150 0.143900 0.90000000
124    0.080  1.0000000 5.000000 0.064000 0.40000000
125    0.080  0.9411765 4.953560 0.063850 0.41025641
126    0.110  1.0000000 5.000000 0.088000 0.55000000
127    0.110  0.9565217 5.034325 0.088150 0.56410256
128    0.175  0.9459459 3.569607 0.125975 0.63636364
129    0.175  1.0000000 4.347826 0.134750 0.76086957
130    0.175  0.8750000 4.605263 0.137000 0.81395349
131    0.175  0.9459459 2.782194 0.112100 0.50000000
132    0.175  0.9722222 4.227053 0.133600 0.74468085
133    0.175  0.8750000 4.605263 0.137000 0.81395349
134    0.080  1.0000000 4.347826 0.061600 0.34782609
135    0.105  0.9545455 4.150198 0.079700 0.44680851
136    0.170  0.9714286 2.857143 0.110500 0.49275362
137    0.170  0.9444444 3.563941 0.122300 0.61818182
138    0.080  1.0000000 3.773585 0.058800 0.30188679
139    0.095  0.8636364 3.259005 0.065850 0.33928571
140    0.095  1.0000000 5.263158 0.076950 0.50000000
141    0.080  1.0000000 2.941176 0.052800 0.23529412
142    0.100  0.9090909 2.673797 0.062600 0.28571429
143    0.175  0.9459459 3.569607 0.125975 0.63636364
144    0.175  0.9722222 4.227053 0.133600 0.74468085
145    0.175  0.8750000 4.375000 0.135000 0.77777778
146    0.175  0.9459459 2.782194 0.112100 0.50000000
147    0.175  0.9210526 4.004577 0.131300 0.71428571
148    0.175  0.8750000 4.375000 0.135000 0.77777778
149    0.080  0.9411765 4.092072 0.060450 0.34042553
150    0.105  0.9130435 3.969754 0.078550 0.43750000
151    0.175  0.9722222 2.859477 0.113800 0.50724638
152    0.175  0.9210526 3.475670 0.124650 0.62500000
153    0.085  1.0000000 3.773585 0.062475 0.32075472
154    0.095  1.0000000 5.000000 0.076000 0.47500000
155    0.085  1.0000000 2.941176 0.056100 0.25000000
156    0.105  0.9130435 2.685422 0.065900 0.30000000
157    0.190  0.9500000 2.794118 0.122000 0.54285714
158    0.190  0.9500000 3.584906 0.137000 0.69090909
159    0.105  1.0000000 3.773585 0.077175 0.39622642
160    0.095  1.0000000 4.347826 0.073150 0.41304348
161    0.100  0.9523810 2.801120 0.064300 0.28985507
162    0.220  1.0000000 3.571429 0.158400 0.78571429
163    0.220  0.8979592 3.453689 0.156300 0.77192982
164    0.220  0.8800000 3.591837 0.158750 0.80000000
165    0.210  0.9545455 3.349282 0.147300 0.71186441
166    0.210  0.9767442 3.756708 0.154100 0.79245283
167    0.210  0.9545455 2.807487 0.135200 0.60000000
168    0.210  0.8936170 3.436989 0.148900 0.73684211
169    0.210  0.9333333 3.809524 0.154875 0.80769231
170    0.105  1.0000000 3.846154 0.077700 0.40384615
171    0.105  0.9130435 3.726708 0.076825 0.41176471
172    0.215  0.8775510 3.079126 0.145175 0.68253968
173    0.215  1.0000000 3.571429 0.154800 0.76785714
174    0.215  0.8775510 3.581841 0.154975 0.78181818
175    0.235  0.9591837 2.821128 0.151700 0.67142857
176    0.235  1.0000000 3.571429 0.169200 0.83928571
177    0.235  0.9215686 3.761505 0.172525 0.88679245
178    0.140  1.0000000 3.571429 0.100800 0.50000000
179    0.105  1.0000000 3.571429 0.075600 0.37500000
180    0.105  0.9545455 3.896104 0.078050 0.42000000
181    0.110  1.0000000 3.571429 0.079200 0.39285714
182    0.205  0.9534884 2.804378 0.131900 0.58571429
183    0.205  0.8723404 3.060844 0.138025 0.65079365
184    0.205  0.9318182 3.803340 0.151100 0.78846154
185    0.120  0.8571429 3.007519 0.080100 0.39344262
186    0.095  0.9047619 3.174603 0.065075 0.32203390
187    0.135  0.9642857 2.836134 0.087400 0.39130435
188    0.100  0.9523810 2.801120 0.064300 0.28985507
189    0.105  0.9545455 2.807487 0.067600 0.30434783
190    0.110  1.0000000 2.000000 0.055000 0.22000000
191    0.240  0.9600000 3.368421 0.168750 0.81355932
192    0.240  0.9600000 3.428571 0.170000 0.82758621
193    0.240  0.9795918 3.767661 0.176300 0.90566038
194    0.225  0.9000000 2.647059 0.140000 0.61643836
195    0.225  1.0000000 3.571429 0.162000 0.80357143
196    0.225  0.8823529 3.393665 0.158700 0.77586207
197    0.140  0.9655172 3.448276 0.099400 0.49122807
198    0.110  0.9565217 3.416149 0.077800 0.38596491
199    0.110  1.0000000 3.846154 0.081400 0.42307692
200    0.115  0.9200000 3.285714 0.080000 0.39655172
201    0.215  0.8600000 2.529412 0.130000 0.57333333
202    0.215  0.9555556 3.352827 0.150875 0.72881356
203    0.215  0.9772727 3.758741 0.157800 0.81132075
204    0.145  1.0000000 3.508772 0.103675 0.50877193
205    0.145  0.9666667 3.717949 0.106000 0.54716981
206    0.105  0.9130435 3.203661 0.072225 0.35593220
207    0.125  1.0000000 3.508772 0.089375 0.43859649
208    0.125  0.8620690 3.315650 0.087300 0.44642857
209    0.125  0.8620690 2.535497 0.075700 0.34722222
210    0.100  0.8695652 2.557545 0.060900 0.28169014
211    0.115  0.9200000 1.840000 0.052500 0.22549020
212    0.160  0.9411765 2.768166 0.102200 0.45714286
213    0.160  0.9411765 3.551609 0.114950 0.58181818
214    0.090  0.9473684 2.786378 0.057700 0.26086957
215    0.060  0.9230769 2.714932 0.037900 0.17391304
216    0.085  0.8947368 2.631579 0.052700 0.24285714
217    0.080  0.8888889 2.614379 0.049400 0.22857143
218    0.075  0.8823529 2.595156 0.046100 0.21428571
219    0.065  1.0000000 2.000000 0.032500 0.13000000
220    0.090  0.9473684 1.894737 0.042500 0.17821782
221    0.090  1.0000000 2.000000 0.045000 0.18000000
222    0.085  1.0000000 2.000000 0.042500 0.17000000
223    0.060  0.9230769 1.741655 0.025550 0.11214953
224    0.065  1.0000000 1.886792 0.030550 0.12264151
225    0.060  0.9230769 1.663202 0.023925 0.10714286
226    0.080  0.8888889 1.677149 0.032300 0.14814815
227    0.075  0.8823529 1.664817 0.029950 0.13888889
228    0.085  0.9444444 1.701702 0.035050 0.15178571
229    0.085  1.0000000 1.886792 0.039950 0.16037736
230    0.220  0.8979592 2.641056 0.136700 0.60273973
231    0.220  0.8627451 3.027176 0.147325 0.68750000
232    0.220  1.0000000 3.571429 0.158400 0.78571429
233    0.145  0.8529412 2.992776 0.096550 0.46774194
234    0.145  0.9666667 3.452381 0.103000 0.50877193
235    0.100  0.9090909 3.189793 0.068650 0.33898305
236    0.155  0.9117647 2.681661 0.097200 0.43661972
237    0.155  0.9117647 3.256303 0.107400 0.52542373
238    0.100  0.9090909 2.673797 0.062600 0.28571429
239    0.125  0.8620690 2.535497 0.075700 0.34722222
240    0.140  0.9655172 1.931034 0.067500 0.27722772
241    0.130  0.8666667 2.549020 0.079000 0.36111111
242    0.140  0.8750000 1.650943 0.055200 0.25454545
243    0.145  0.9062500 1.709906 0.060200 0.26605505
244    0.155  0.9687500 1.745495 0.066200 0.27678571
245    0.150  0.9375000 1.616379 0.057200 0.25423729
246    0.140  0.8750000 1.650943 0.055200 0.25454545
247    0.145  0.9062500 1.632883 0.056200 0.25438596
248    0.225  0.8823529 1.664817 0.089850 0.40178571
249    0.225  0.9183673 1.800720 0.100050 0.42452830
250    0.255  1.0000000 1.886792 0.119850 0.48113208
251    0.255  0.8947368 1.754386 0.109650 0.47222222
252    0.255  1.0000000 1.801802 0.113475 0.45945946
253    0.255  0.8500000 1.666667 0.102000 0.45945946
254    0.235  0.9215686 1.588911 0.087100 0.39166667
255    0.245  1.0000000 1.886792 0.115150 0.46226415
256    0.245  0.8596491 1.621979 0.093950 0.42982456
257    0.245  1.0000000 1.801802 0.109025 0.44144144
258    0.235  0.9591837 1.653765 0.092900 0.39830508
259    0.285  1.0000000 1.801802 0.126825 0.51351351
260    0.285  0.9500000 1.792453 0.126000 0.52293578
261    0.260  0.9122807 1.572898 0.094700 0.42975207
262    0.260  0.9122807 1.721284 0.108950 0.46846847
263    0.275  0.9166667 1.580460 0.101000 0.45454545
264    0.275  0.9649123 1.738581 0.116825 0.48672566
265    0.080  0.8888889 1.777778 0.035000 0.15686275
266    0.135  0.9642857 1.819407 0.060800 0.25233645
267    0.135  0.9642857 1.819407 0.060800 0.25233645
268    0.125  0.8928571 1.608752 0.047300 0.21929825
269    0.080  0.8888889 1.742919 0.034100 0.15384615
270    0.145  0.8787879 1.658090 0.057550 0.26363636
271    0.145  0.9062500 1.709906 0.060200 0.26605505
272    0.135  0.9000000 1.698113 0.055500 0.24770642
