
With 2 centroids
          cent
cent 0.5210882

With 3 centroids
          cent
cent 0.7526127

With 4 centroids
          cent
cent 0.4253272

With 5 centroids
        cent
cent 0.43253

With 6 centroids
          cent
cent 0.6043405

With 7 centroids
          cent
cent 0.6435908

With 8 centroids
          cent
cent 0.5540625

With 9 centroids
          cent
cent 0.5845309
