
Dunn Index
             comp        ave       cent
sin   0.005916561 0.01693213 0.02187839
comp  0.424066132 1.21360064 1.56812074
ave   0.261080632 0.74716559 0.96542950
cent  0.261080632 0.74716559 0.96542950
aveto 0.261080632 0.74716559 0.96542950
haus  0.165197918 0.47276659 0.61087236

Davies Index
            comp        ave       cent
sin   70.3856278 21.0689682 16.3349959
comp   0.9789412  0.3179055  0.2416335
ave    2.2436178  0.6988057  0.5386231
cent   2.2436178  0.6988057  0.5386231
aveto  2.2436178  0.6988057  0.5386231
haus   2.0544290  0.6547061  0.4965202

Silhouette Coefficient
[1] 0.7767386
