     support confidence      lift leverage   jaccard
114    0.100  1.0000000  7.142857 0.086000 0.7142857
115    0.100  0.9090909  7.905138 0.087350 0.8000000
116    0.100  0.8695652  7.905138 0.087350 0.8000000
117    0.100  1.0000000  3.846154 0.074000 0.3846154
118    0.100  0.9090909  7.905138 0.087350 0.8000000
119    0.100  0.8695652  7.905138 0.087350 0.8000000
120    0.060  1.0000000  8.695652 0.053100 0.5217391
121    0.060  0.9230769  8.391608 0.052850 0.5217391
122    0.110  1.0000000  7.142857 0.094600 0.7857143
123    0.110  1.0000000  8.000000 0.096250 0.8800000
124    0.110  0.9166667  8.333333 0.096800 0.9166667
125    0.110  1.0000000  3.846154 0.081400 0.4230769
126    0.110  1.0000000  8.000000 0.096250 0.8800000
127    0.110  0.8800000  8.000000 0.096250 0.8800000
128    0.060  1.0000000  8.000000 0.052500 0.4800000
129    0.060  0.8571429  7.792208 0.052300 0.5000000
130    0.050  1.0000000  8.000000 0.043750 0.4000000
131    0.050  0.9090909  8.264463 0.043950 0.4347826
132    0.110  1.0000000  3.846154 0.081400 0.4230769
133    0.110  1.0000000  7.142857 0.094600 0.7857143
134    0.060  1.0000000  7.142857 0.051600 0.4285714
135    0.060  0.9230769  8.391608 0.052850 0.5217391
136    0.050  1.0000000  7.142857 0.043000 0.3571429
137    0.060  1.0000000  3.846154 0.044400 0.2307692
138    0.050  1.0000000  3.846154 0.037000 0.1923077
139    0.105  0.9545455  7.636364 0.091250 0.8076923
140    0.105  0.9545455  8.300395 0.092350 0.8750000
141    0.105  1.0000000  8.695652 0.092925 0.9130435
142    0.110  1.0000000  7.142857 0.094600 0.7857143
143    0.110  1.0000000  8.695652 0.097350 0.9565217
144    0.110  0.9565217  8.317580 0.096775 0.9166667
145    0.110  1.0000000  3.846154 0.081400 0.4230769
146    0.110  0.9565217  8.317580 0.096775 0.9166667
147    0.110  0.9565217  8.317580 0.096775 0.9166667
148    0.065  0.9285714  8.074534 0.056950 0.5416667
149    0.065  1.0000000  8.695652 0.057525 0.5652174
150    0.105  0.9545455  6.818182 0.089600 0.7241379
151    0.105  0.9545455  7.636364 0.091250 0.8076923
152    0.105  0.8750000  7.608696 0.091200 0.8076923
153    0.110  1.0000000  3.846154 0.081400 0.4230769
154    0.110  0.9565217  7.652174 0.095625 0.8461538
155    0.110  0.8800000  7.652174 0.095625 0.8461538
156    0.070  1.0000000  8.000000 0.061250 0.5600000
157    0.070  1.0000000  8.695652 0.061950 0.6086957
158    0.110  1.0000000  3.846154 0.081400 0.4230769
159    0.110  0.9565217  6.832298 0.093900 0.7586207
160    0.065  0.9285714  6.632653 0.055200 0.4482759
161    0.065  1.0000000  8.695652 0.057525 0.5652174
162    0.070  1.0000000  3.846154 0.051800 0.2692308
163    0.105  1.0000000  7.142857 0.090300 0.7500000
164    0.105  0.9130435  7.304348 0.090625 0.7777778
165    0.105  0.8750000  7.608696 0.091200 0.8076923
166    0.105  1.0000000  3.846154 0.077700 0.4038462
167    0.105  0.9130435  7.304348 0.090625 0.7777778
168    0.105  0.8400000  7.304348 0.090625 0.7777778
169    0.065  1.0000000  8.000000 0.056875 0.5200000
170    0.065  0.9285714  8.074534 0.056950 0.5416667
171    0.115  1.0000000  3.846154 0.085100 0.4423077
172    0.115  1.0000000  7.142857 0.098900 0.8214286
173    0.115  0.8214286  7.142857 0.098900 0.8214286
174    0.065  1.0000000  7.142857 0.055900 0.4642857
175    0.065  1.0000000  8.695652 0.057525 0.5652174
176    0.050  1.0000000  7.142857 0.043000 0.3571429
177    0.065  1.0000000  3.846154 0.048100 0.2500000
178    0.050  1.0000000  3.846154 0.037000 0.1923077
179    0.120  1.0000000  3.846154 0.088800 0.4615385
180    0.120  0.9600000  6.857143 0.102500 0.8275862
181    0.120  0.8571429  6.857143 0.102500 0.8275862
182    0.065  0.9285714  6.632653 0.055200 0.4482759
183    0.065  1.0000000  8.000000 0.056875 0.5200000
184    0.055  1.0000000  7.142857 0.047300 0.3928571
185    0.070  1.0000000  3.846154 0.051800 0.2692308
186    0.055  1.0000000  3.846154 0.040700 0.2115385
187    0.120  0.9600000  5.647059 0.098750 0.6857143
188    0.120  0.9600000  5.818182 0.099375 0.7058824
189    0.125  1.0000000  5.714286 0.103125 0.7142857
190    0.125  0.9615385  5.827506 0.103550 0.7352941
191    0.125  0.8064516  6.203474 0.104850 0.7812500
192    0.125  1.0000000  3.846154 0.092500 0.4807692
193    0.125  0.9615385  5.827506 0.103550 0.7352941
194    0.125  0.8064516  6.203474 0.104850 0.7812500
195    0.075  0.9375000  5.681818 0.061800 0.4411765
196    0.050  1.0000000  6.060606 0.041750 0.3030303
197    0.075  0.9375000  5.681818 0.061800 0.4411765
198    0.125  1.0000000  5.714286 0.103125 0.7142857
199    0.125  0.9615385  5.656109 0.102900 0.7142857
200    0.125  1.0000000  3.846154 0.092500 0.4807692
201    0.125  0.9615385  5.656109 0.102900 0.7142857
202    0.075  0.9375000  5.514706 0.061400 0.4285714
203    0.050  1.0000000  5.882353 0.041500 0.2941176
204    0.075  0.9375000  5.514706 0.061400 0.4285714
205    0.075  0.8333333  6.410256 0.063300 0.5172414
206    0.130  1.0000000  3.846154 0.096200 0.5000000
207    0.130  1.0000000  5.714286 0.107250 0.7428571
208    0.080  1.0000000  5.714286 0.066000 0.4571429
209    0.050  1.0000000  5.714286 0.041250 0.2857143
210    0.080  1.0000000  5.714286 0.066000 0.4571429
211    0.080  0.8421053  6.477733 0.067650 0.5517241
212    0.080  1.0000000  3.846154 0.059200 0.3076923
213    0.050  1.0000000  3.846154 0.037000 0.1923077
214    0.080  1.0000000  3.846154 0.059200 0.3076923
215    0.075  0.9375000  1.875000 0.035000 0.1485149
216    0.075  0.9375000  2.500000 0.045000 0.1973684
217    0.065  1.0000000  3.846154 0.048100 0.2500000
218    0.075  1.0000000  3.846154 0.055500 0.2884615
219    0.150  0.9677419  5.529954 0.122875 0.8333333
220    0.150  0.9677419  5.692600 0.123650 0.8571429
221    0.150  0.9090909  5.509642 0.122775 0.8333333
222    0.145  0.9354839  3.598015 0.104700 0.5370370
223    0.145  0.9354839  5.502846 0.118650 0.8055556
224    0.145  0.9062500  5.492424 0.118600 0.8055556
225    0.100  0.9090909  5.347594 0.081300 0.5555556
226    0.100  0.8695652  5.270092 0.081025 0.5555556
227    0.070  1.0000000  5.882353 0.058100 0.4117647
228    0.070  0.8750000  5.303030 0.056800 0.4000000
229    0.085  0.8947368  5.263158 0.068850 0.4722222
230    0.085  0.9444444  5.723906 0.070150 0.5000000
231    0.145  0.9354839  3.598015 0.104700 0.5370370
232    0.145  0.9354839  5.345622 0.117875 0.7837838
233    0.145  0.8787879  5.325987 0.117775 0.7837838
234    0.100  0.9090909  5.194805 0.080750 0.5405405
235    0.100  0.8333333  5.050505 0.080200 0.5405405
236    0.070  1.0000000  5.714286 0.057750 0.4000000
237    0.070  0.8750000  5.303030 0.056800 0.4000000
238    0.085  0.8947368  5.112782 0.068375 0.4594595
239    0.085  0.8947368  5.422648 0.069325 0.4857143
240    0.100  0.9090909  3.496503 0.071400 0.3703704
241    0.060  0.8571429  3.296703 0.041800 0.2222222
242    0.095  1.0000000  3.846154 0.070300 0.3653846
243    0.090  0.8181818  1.636364 0.035000 0.1730769
244    0.090  0.9473684  2.526316 0.054375 0.2368421
245    0.155  0.9393939  3.613054 0.112100 0.5740741
246    0.155  0.9687500  5.535714 0.127000 0.8611111
247    0.155  0.9393939  5.525847 0.126950 0.8611111
248    0.110  0.9565217  5.465839 0.089875 0.6111111
249    0.110  0.9166667  5.392157 0.089600 0.6111111
250    0.080  1.0000000  5.714286 0.066000 0.4571429
251    0.080  1.0000000  5.882353 0.066400 0.4705882
252    0.085  0.9444444  5.396825 0.069250 0.4722222
253    0.085  0.8947368  5.263158 0.068850 0.4722222
254    0.105  0.9130435  3.511706 0.075100 0.3888889
255    0.070  0.8750000  3.365385 0.049200 0.2592593
256    0.090  1.0000000  3.846154 0.066600 0.3461538
257    0.085  0.9444444  2.518519 0.051250 0.2236842
258    0.110  0.9166667  3.525641 0.078800 0.4074074
259    0.070  0.8750000  3.365385 0.049200 0.2592593
260    0.095  1.0000000  3.846154 0.070300 0.3653846
261    0.090  0.9473684  2.526316 0.054375 0.2368421
262    0.150  1.0000000  2.857143 0.097500 0.4285714
263    0.150  0.8571429  2.721088 0.094875 0.4411765
264    0.135  0.9000000  2.535211 0.081750 0.3648649
265    0.135  0.8437500  2.678571 0.084600 0.3970588
266    0.140  0.9333333  2.557078 0.085250 0.3733333
267    0.140  0.8235294  2.614379 0.086450 0.4057971
268    0.140  0.9333333  2.196078 0.076250 0.3218391
269    0.060  0.8571429  2.348337 0.034450 0.1600000
270    0.060  0.8571429  2.169982 0.032350 0.1481481
271    0.140  0.8000000  2.253521 0.077875 0.3589744
272    0.140  0.8750000  2.500000 0.084000 0.3783784
273    0.150  0.8571429  2.348337 0.086125 0.3846154
274    0.150  0.8823529  2.521008 0.090500 0.4054054
275    0.160  0.9142857  2.151261 0.085625 0.3636364
276    0.160  0.8888889  2.539683 0.097000 0.4324324
277    0.100  0.8333333  2.380952 0.058000 0.2702703
278    0.150  0.9375000  2.568493 0.091600 0.4000000
279    0.150  0.8823529  2.485501 0.089650 0.4000000
280    0.160  1.0000000  2.352941 0.092000 0.3764706
281    0.160  0.8888889  2.503912 0.096100 0.4266667
282    0.100  0.8333333  2.347418 0.057400 0.2666667
283    0.155  0.9117647  2.145329 0.082750 0.3522727
284    0.155  0.8611111  2.359209 0.089300 0.3974359
285    0.060  1.0000000  2.739726 0.038100 0.1643836
286    0.065  0.8125000  2.056962 0.033400 0.1585366
287    0.050  0.8333333  2.109705 0.026300 0.1234568
288    0.060  1.0000000  2.000000 0.030000 0.1200000
289    0.065  1.0000000  2.531646 0.039325 0.1645570
290    0.120  1.0000000  2.352941 0.069000 0.2823529
291    0.165  0.9428571  2.583170 0.101125 0.4400000
292    0.165  0.9428571  2.732919 0.104625 0.4647887
293    0.100  0.8333333  2.415459 0.058600 0.2739726
294    0.175  1.0000000  2.531646 0.105875 0.4430380
295    0.175  0.8750000  2.536232 0.106000 0.4729730
296    0.175  1.0000000  2.469136 0.104125 0.4320988
297    0.175  0.8333333  2.415459 0.102550 0.4605263
298    0.110  0.9166667  2.657005 0.068600 0.3098592
299    0.055  1.0000000  2.000000 0.027500 0.1100000
300    0.175  1.0000000  2.531646 0.105875 0.4430380
301    0.175  0.8750000  2.397260 0.102000 0.4487179
302    0.175  1.0000000  2.469136 0.104125 0.4320988
303    0.175  0.8333333  2.283105 0.098350 0.4375000
304    0.120  1.0000000  2.739726 0.076200 0.3287671
