    support confidence     lift leverage   jaccard
114   0.235  1.0000000 1.886792 0.110450 0.4433962
115   0.235  0.9038462 1.705370 0.097200 0.4234234
116   0.235  0.9591837 1.653765 0.092900 0.3983051
117   0.235  1.0000000 1.801802 0.104575 0.4234234
118   0.260  0.9122807 1.572898 0.094700 0.4297521
119   0.260  1.0000000 1.801802 0.115700 0.4684685
120   0.260  0.9454545 1.783877 0.114250 0.4770642
121   0.215  0.9772727 1.843911 0.098400 0.4018692
122   0.215  0.9148936 1.793909 0.095150 0.4056604
123   0.215  0.9772727 1.843911 0.098400 0.4018692
124   0.215  0.9148936 1.793909 0.095150 0.4056604
125   0.215  0.9772727 1.760852 0.092900 0.3839286
126   0.215  0.9772727 1.843911 0.098400 0.4018692
127   0.230  0.9787234 1.763466 0.099575 0.4107143
128   0.230  0.9787234 1.846648 0.105450 0.4299065
129   0.230  0.9387755 1.771275 0.100150 0.4220183
130   0.225  0.9782609 1.845775 0.103100 0.4205607
131   0.225  0.9375000 1.838235 0.102600 0.4285714
132   0.220  0.9565217 1.723463 0.092350 0.3893805
133   0.220  0.9361702 1.835628 0.100150 0.4190476
134   0.225  0.9782609 1.686657 0.091600 0.3846154
135   0.225  0.9375000 1.768868 0.097800 0.4128440
136   0.225  0.9375000 1.838235 0.102600 0.4285714
137   0.250  0.9803922 1.766472 0.108475 0.4464286
138   0.250  1.0000000 1.886792 0.117500 0.4716981
139   0.250  0.9090909 1.782531 0.109750 0.4672897
140   0.235  0.9215686 1.588911 0.087100 0.3916667
141   0.235  0.9791667 1.847484 0.107800 0.4392523
142   0.235  0.9038462 1.772247 0.102400 0.4392523
143   0.230  0.9200000 1.586207 0.085000 0.3833333
144   0.230  0.9583333 1.726727 0.096800 0.4070796
145   0.235  0.9791667 1.764264 0.101800 0.4196429
146   0.235  1.0000000 1.886792 0.110450 0.4433962
147   0.235  0.9791667 1.688218 0.095800 0.4017094
148   0.235  0.9791667 1.847484 0.107800 0.4392523
149   0.235  0.9038462 1.705370 0.097200 0.4234234
150   0.230  0.9787234 1.687454 0.093700 0.3931624
151   0.230  0.9583333 1.726727 0.096800 0.4070796
152   0.255  0.9272727 1.598746 0.095500 0.4250000
153   0.255  0.9807692 1.767152 0.110700 0.4553571
154   0.255  0.9807692 1.850508 0.117200 0.4766355
155   0.430  0.9772727 1.760852 0.185800 0.7610619
156   0.430  0.9885057 1.865105 0.199450 0.8037383
157   0.430  0.9247312 1.744776 0.183550 0.7610619
158   0.430  0.9247312 1.813198 0.192850 0.7889908
159   0.375  0.9259259 1.747030 0.160350 0.6696429
160   0.375  0.9615385 1.814224 0.168300 0.6880734
161   0.375  0.9615385 1.885370 0.176100 0.7142857
162   0.375  0.9259259 1.668335 0.150225 0.6410256
163   0.375  0.9615385 1.814224 0.168300 0.6880734
164   0.375  0.9615385 1.885370 0.176100 0.7142857
165   0.385  0.9871795 1.778702 0.168550 0.6875000
166   0.385  0.9871795 1.862603 0.178300 0.7196262
167   0.385  0.9277108 1.819041 0.173350 0.7129630
168   0.385  0.9871795 1.778702 0.168550 0.6875000
169   0.385  0.9871795 1.862603 0.178300 0.7196262
