  support confidence     lift      leverage  jaccard
1   0.500  0.5000000 1.000000  0.000000e+00 0.500000
2   0.500  0.5000000 1.000000  0.000000e+00 0.500000
3   0.510  0.5100000 1.000000  0.000000e+00 0.510000
4   0.530  0.5300000 1.000000  0.000000e+00 0.530000
5   0.530  0.5300000 1.000000  0.000000e+00 0.530000
6   0.555  0.5550000 1.000000  0.000000e+00 0.555000
7   0.580  0.5800000 1.000000 -1.110223e-16 0.580000
8   0.520  0.9811321 1.767806  2.258500e-01 0.920354
9   0.520  0.9369369 1.767806  2.258500e-01 0.920354
