rules,support,confidence,lift,count,leverage,jaccard,,
"{CL=[37.3,47.6],CW=[42.2,54.6]} => {BD=[16.7,21.6]}",21.50%,87.76%,3.656462585,43,0.1562,0.7962963,,
"{FL=[ 7.2,13.0),CL=[14.7,27.3)} => {BD=[ 6.1,11.5)}",21.50%,91.49%,3.587818106,43,0.155075,0.7818182,,
"{BD=[16.7,21.6]} => {FL=[18.2,23.1]}",21.50%,89.58%,3.5833333333,43,0.155,0.7818182,,
"{FL=[18.2,23.1]} => {BD=[16.7,21.6]}",21.50%,86.00%,3.5833333333,43,0.155,0.7818182,,
"{FL=[ 7.2,13.0),BD=[ 6.1,11.5)} => {CW=[17.1,31.6)}",21.00%,91.30%,3.5805626598,42,0.15135,0.7636364,,
"{FL=[ 7.2,13.0),CW=[17.1,31.6)} => {BD=[ 6.1,11.5)}",21.00%,91.30%,3.5805626598,42,0.15135,0.7636364,,
"{FL=[ 7.2,13.0),CL=[14.7,27.3),CW=[17.1,31.6)} => {BD=[ 6.1,11.5)}",20.50%,91.11%,3.5729847495,41,0.147625,0.7454545,,
"{BD=[ 6.1,11.5)} => {FL=[ 7.2,13.0)}",23.00%,90.20%,3.537101115,46,0.164975,0.8214286,,
"{FL=[ 7.2,13.0)} => {BD=[ 6.1,11.5)}",23.00%,90.20%,3.537101115,46,0.164975,0.8214286,,
"{CW=[17.1,31.6)} => {FL=[ 7.2,13.0)}",23.00%,90.20%,3.537101115,46,0.164975,0.8214286,,
"{FL=[ 7.2,13.0)} => {CW=[17.1,31.6)}",23.00%,90.20%,3.537101115,46,0.164975,0.8214286,,
"{CL=[14.7,27.3)} => {BD=[ 6.1,11.5)}",21.50%,86.00%,3.3725490196,43,0.15125,0.7413793,,
"{BD=[ 6.1,11.5)} => {CL=[14.7,27.3)}",21.50%,84.31%,3.3725490196,43,0.15125,0.7413793,,
"{FL=[ 7.2,13.0),BD=[ 6.1,11.5)} => {RW=[ 6.5,11.1)}",20.50%,89.13%,3.3634126333,41,0.14405,0.7068966,,
"{CL=[14.7,27.3),CW=[17.1,31.6)} => {BD=[ 6.1,11.5)}",20.50%,85.42%,3.3496732026,41,0.1438,0.7068966,,
"{FL=[18.2,23.1]} => {CL=[37.3,47.6]}",20.50%,82.00%,3.28,41,0.1425,0.6949153,,
"{CL=[37.3,47.6]} => {FL=[18.2,23.1]}",20.50%,82.00%,3.28,41,0.1425,0.6949153,,
"{CW=[42.2,54.6]} => {FL=[18.2,23.1]}",20.00%,81.63%,3.2653061224,40,0.13875,0.6779661,,
"{FL=[18.2,23.1]} => {CW=[42.2,54.6]}",20.00%,80.00%,3.2653061224,40,0.13875,0.6779661,,
"{CL=[37.3,47.6],CW=[42.2,54.6]} => {FL=[18.2,23.1]}",20.00%,81.63%,3.2653061224,40,0.13875,0.6779661,,
"{BD=[ 6.1,11.5)} => {CW=[17.1,31.6)}",21.00%,82.35%,3.229527105,42,0.144975,0.7,,
"{CW=[17.1,31.6)} => {BD=[ 6.1,11.5)}",21.00%,82.35%,3.229527105,42,0.144975,0.7,,
"{BD=[ 6.1,11.5)} => {RW=[ 6.5,11.1)}",21.50%,84.31%,3.1816500185,43,0.147425,0.704918,,
"{RW=[ 6.5,11.1)} => {BD=[ 6.1,11.5)}",21.50%,81.13%,3.1816500185,43,0.147425,0.704918,,
"{CW=[17.1,31.6)} => {RW=[ 6.5,11.1)}",21.50%,84.31%,3.1816500185,43,0.147425,0.704918,,
"{RW=[ 6.5,11.1)} => {CW=[17.1,31.6)}",21.50%,81.13%,3.1816500185,43,0.147425,0.704918,,
"{CL=[14.7,27.3),CW=[17.1,31.6)} => {RW=[ 6.5,11.1)}",20.00%,83.33%,3.1446540881,40,0.1364,0.6557377,,
"{FL=[ 7.2,13.0)} => {RW=[ 6.5,11.1)}",21.00%,82.35%,3.1076581576,42,0.142425,0.6774194,,
"{RW=[ 6.5,11.1)} => {FL=[ 7.2,13.0)}",21.00%,79.25%,3.1076581576,42,0.142425,0.6774194,,
"{CL=[14.7,27.3)} => {RW=[ 6.5,11.1)}",20.50%,82.00%,3.0943396226,41,0.13875,0.6612903,,
"{RW=[ 6.5,11.1)} => {CL=[14.7,27.3)}",20.50%,77.36%,3.0943396226,41,0.13875,0.6612903,,
"{CW=[17.1,31.6)} => {index=[ 1,14)}",20.00%,78.43%,3.0165912519,40,0.1337,0.6349206,,
"{index=[ 1,14)} => {CW=[17.1,31.6)}",20.00%,76.92%,3.0165912519,40,0.1337,0.6349206,,
"{index=[ 1,14)} => {RW=[ 6.5,11.1)}",20.50%,78.85%,2.9753265602,41,0.1361,0.640625,,
"{RW=[ 6.5,11.1)} => {index=[ 1,14)}",20.50%,77.36%,2.9753265602,41,0.1361,0.640625,,
