    support confidence     lift leverage   jaccard
114   0.110  0.9565217 3.751066 0.080675 0.4230769
115   0.175  1.0000000 3.773585 0.128625 0.6603774
116   0.120  0.9600000 3.622642 0.086875 0.4444444
117   0.095  1.0000000 3.921569 0.070775 0.3725490
118   0.130  0.9629630 3.776325 0.095575 0.5000000
119   0.120  1.0000000 3.773585 0.088200 0.4528302
120   0.095  1.0000000 3.921569 0.070775 0.3725490
121   0.115  1.0000000 3.773585 0.084525 0.4339623
122   0.095  1.0000000 3.921569 0.070775 0.3725490
123   0.125  0.9615385 3.628447 0.090550 0.4629630
124   0.135  1.0000000 4.081633 0.101925 0.5510204
125   0.135  0.9642857 4.017857 0.101400 0.5510204
126   0.130  0.9629630 3.851852 0.096250 0.5098039
127   0.130  1.0000000 4.166667 0.098800 0.5416667
128   0.135  1.0000000 4.000000 0.101250 0.5400000
129   0.135  0.9642857 4.017857 0.101400 0.5510204
130   0.065  1.0000000 4.166667 0.049400 0.2708333
131   0.065  1.0000000 4.166667 0.049400 0.2708333
132   0.070  1.0000000 4.081633 0.052850 0.2857143
133   0.160  1.0000000 4.081633 0.120800 0.6530612
134   0.160  1.0000000 4.166667 0.121600 0.6666667
135   0.170  1.0000000 4.000000 0.127500 0.6800000
136   0.170  1.0000000 4.081633 0.128350 0.6938776
137   0.100  1.0000000 4.081633 0.075500 0.4081633
138   0.070  1.0000000 4.081633 0.052850 0.2857143
139   0.160  1.0000000 4.000000 0.120000 0.6400000
140   0.160  1.0000000 4.166667 0.121600 0.6666667
141   0.095  0.9500000 3.800000 0.070000 0.3725490
142   0.095  1.0000000 4.166667 0.072200 0.3958333
143   0.065  1.0000000 4.166667 0.049400 0.2708333
144   0.100  1.0000000 4.000000 0.075000 0.4000000
145   0.070  1.0000000 4.000000 0.052500 0.2800000
146   0.050  1.0000000 4.000000 0.037500 0.2000000
147   0.050  1.0000000 2.000000 0.025000 0.1000000
148   0.050  1.0000000 4.166667 0.038000 0.2083333
149   0.060  1.0000000 2.000000 0.030000 0.1200000
150   0.060  1.0000000 4.166667 0.045600 0.2500000
151   0.055  1.0000000 2.000000 0.027500 0.1100000
152   0.155  1.0000000 4.081633 0.117025 0.6326531
153   0.155  1.0000000 4.166667 0.117800 0.6458333
154   0.165  1.0000000 4.000000 0.123750 0.6600000
155   0.165  1.0000000 4.081633 0.124575 0.6734694
156   0.165  0.9705882 4.044118 0.124200 0.6734694
157   0.065  1.0000000 4.081633 0.049075 0.2653061
158   0.065  1.0000000 4.166667 0.049400 0.2708333
159   0.100  1.0000000 4.081633 0.075500 0.4081633
160   0.100  1.0000000 4.081633 0.075500 0.4081633
161   0.100  0.9523810 3.968254 0.074800 0.4081633
162   0.155  1.0000000 4.000000 0.116250 0.6200000
163   0.155  1.0000000 4.166667 0.117800 0.6458333
164   0.065  1.0000000 4.000000 0.048750 0.2600000
165   0.065  1.0000000 4.166667 0.049400 0.2708333
166   0.090  1.0000000 4.081633 0.067950 0.3673469
167   0.065  1.0000000 4.000000 0.048750 0.2600000
168   0.065  1.0000000 4.166667 0.049400 0.2708333
169   0.100  1.0000000 4.000000 0.075000 0.4000000
170   0.100  1.0000000 4.081633 0.075500 0.4081633
171   0.100  0.9523810 3.968254 0.074800 0.4081633
172   0.200  1.0000000 4.000000 0.150000 0.8000000
173   0.200  0.9756098 3.982081 0.149775 0.8000000
174   0.200  1.0000000 4.166667 0.152000 0.8333333
175   0.110  0.9565217 3.826087 0.081250 0.4313725
176   0.110  1.0000000 4.166667 0.083600 0.4583333
177   0.090  1.0000000 4.081633 0.067950 0.3673469
178   0.090  1.0000000 4.166667 0.068400 0.3750000
179   0.115  1.0000000 4.000000 0.086250 0.4600000
180   0.115  0.9583333 3.911565 0.085600 0.4600000
181   0.100  1.0000000 4.000000 0.075000 0.4000000
182   0.100  1.0000000 4.081633 0.075500 0.4081633
183   0.100  0.9523810 3.968254 0.074800 0.4081633
184   0.115  0.9583333 3.833333 0.085000 0.4509804
185   0.115  1.0000000 4.166667 0.087400 0.4791667
186   0.090  1.0000000 4.000000 0.067500 0.3600000
187   0.090  1.0000000 4.166667 0.068400 0.3750000
188   0.050  1.0000000 4.000000 0.037500 0.2000000
189   0.050  1.0000000 4.081633 0.037750 0.2040816
190   0.050  1.0000000 2.000000 0.025000 0.1000000
191   0.050  1.0000000 4.081633 0.037750 0.2040816
192   0.050  1.0000000 2.000000 0.025000 0.1000000
193   0.050  1.0000000 4.000000 0.037500 0.2000000
194   0.130  1.0000000 4.081633 0.098150 0.5306122
195   0.140  1.0000000 4.000000 0.105000 0.5600000
196   0.140  1.0000000 4.081633 0.105700 0.5714286
197   0.065  1.0000000 4.081633 0.049075 0.2653061
198   0.065  1.0000000 4.166667 0.049400 0.2708333
199   0.075  1.0000000 4.081633 0.056625 0.3061224
200   0.130  1.0000000 4.000000 0.097500 0.5200000
201   0.065  1.0000000 4.000000 0.048750 0.2600000
202   0.065  1.0000000 4.166667 0.049400 0.2708333
203   0.065  1.0000000 4.081633 0.049075 0.2653061
204   0.065  1.0000000 4.000000 0.048750 0.2600000
205   0.065  1.0000000 4.166667 0.049400 0.2708333
206   0.075  1.0000000 4.081633 0.056625 0.3061224
207   0.160  1.0000000 4.000000 0.120000 0.6400000
208   0.160  1.0000000 4.081633 0.120800 0.6530612
209   0.095  1.0000000 4.081633 0.071725 0.3877551
210   0.065  1.0000000 4.081633 0.049075 0.2653061
211   0.115  1.0000000 4.000000 0.086250 0.4600000
212   0.115  1.0000000 4.081633 0.086825 0.4693878
213   0.075  1.0000000 4.000000 0.056250 0.3000000
214   0.075  1.0000000 4.081633 0.056625 0.3061224
215   0.095  1.0000000 4.000000 0.071250 0.3800000
216   0.065  1.0000000 4.000000 0.048750 0.2600000
217   0.075  1.0000000 2.000000 0.037500 0.1500000
218   0.075  1.0000000 4.000000 0.056250 0.3000000
219   0.055  1.0000000 4.000000 0.041250 0.2200000
220   0.055  1.0000000 2.000000 0.027500 0.1100000
221   0.065  1.0000000 2.000000 0.032500 0.1300000
222   0.065  1.0000000 4.000000 0.048750 0.2600000
223   0.050  1.0000000 2.000000 0.025000 0.1000000
224   0.050  1.0000000 3.921569 0.037250 0.1960784
225   0.050  1.0000000 4.000000 0.037500 0.2000000
226   0.055  1.0000000 3.921569 0.040975 0.2156863
227   0.055  1.0000000 3.921569 0.040975 0.2156863
228   0.060  1.0000000 2.000000 0.030000 0.1200000
229   0.085  1.0000000 4.000000 0.063750 0.3400000
230   0.080  1.0000000 4.000000 0.060000 0.3200000
231   0.075  1.0000000 4.081633 0.056625 0.3061224
232   0.070  1.0000000 2.000000 0.035000 0.1400000
233   0.070  1.0000000 4.081633 0.052850 0.2857143
234   0.050  1.0000000 3.921569 0.037250 0.1960784
235   0.155  1.0000000 4.000000 0.116250 0.6200000
236   0.155  1.0000000 4.081633 0.117025 0.6326531
237   0.065  1.0000000 4.000000 0.048750 0.2600000
238   0.065  1.0000000 4.081633 0.049075 0.2653061
239   0.090  1.0000000 4.081633 0.067950 0.3673469
