     support confidence     lift leverage   jaccard
114    0.055  1.0000000 2.000000 0.027500 0.1100000
115    0.115  0.9200000 3.680000 0.083750 0.4423077
116    0.050  1.0000000 3.846154 0.037000 0.1923077
117    0.155  0.9687500 3.799020 0.114200 0.5961538
118    0.155  1.0000000 4.000000 0.116250 0.6200000
119    0.075  0.9375000 3.676471 0.054600 0.2884615
120    0.080  1.0000000 2.000000 0.040000 0.1600000
121    0.115  0.9583333 3.833333 0.085000 0.4509804
122    0.090  0.9473684 1.894737 0.042500 0.1782178
123    0.080  1.0000000 4.000000 0.060000 0.3200000
124    0.090  1.0000000 2.000000 0.045000 0.1800000
125    0.185  0.9736842 3.818369 0.136550 0.7115385
126    0.185  0.9736842 3.894737 0.137500 0.7254902
127    0.145  0.9666667 3.790850 0.106750 0.5576923
128    0.145  0.9062500 3.625000 0.105000 0.5471698
129    0.110  0.9166667 3.594771 0.079400 0.4150943
130    0.110  0.9565217 3.826087 0.081250 0.4313725
131    0.130  1.0000000 3.921569 0.096850 0.5098039
132    0.130  0.9285714 3.714286 0.095000 0.5000000
133    0.050  1.0000000 2.000000 0.025000 0.1000000
134    0.080  1.0000000 2.000000 0.040000 0.1600000
135    0.080  0.9411765 1.882353 0.037500 0.1584158
136    0.050  1.0000000 2.000000 0.025000 0.1000000
137    0.060  1.0000000 2.000000 0.030000 0.1200000
138    0.205  0.9534884 3.739170 0.150175 0.7735849
139    0.205  0.9761905 3.904762 0.152500 0.8039216
140    0.215  1.0000000 3.921569 0.160175 0.8431373
141    0.215  0.9148936 3.587818 0.155075 0.7818182
142    0.215  0.9347826 3.739130 0.157500 0.8113208
143    0.165  0.9428571 3.771429 0.121250 0.6346154
144    0.190  0.9268293 3.634625 0.137725 0.7037037
145    0.120  0.9230769 3.692308 0.087500 0.4615385
146    0.225  0.9375000 3.676471 0.163800 0.8333333
147    0.225  0.9574468 3.754693 0.165075 0.8490566
148    0.225  0.9782609 3.913043 0.167500 0.8823529
149    0.195  1.0000000 3.921569 0.145275 0.7647059
150    0.195  0.9750000 3.900000 0.145000 0.7647059
151    0.200  0.9756098 3.825921 0.147725 0.7692308
152    0.200  0.9302326 3.720930 0.146250 0.7547170
153    0.105  0.9545455 3.743316 0.076950 0.4038462
154    0.135  0.9642857 3.781513 0.099300 0.5192308
155    0.135  1.0000000 4.000000 0.101250 0.5400000
156    0.180  0.9230769 3.619910 0.130275 0.6666667
157    0.180  0.9473684 3.789474 0.132500 0.6923077
158    0.195  0.9512195 3.730273 0.142725 0.7358491
159    0.195  0.9285714 3.714286 0.142500 0.7358491
160    0.100  0.9090909 3.565062 0.071950 0.3773585
161    0.135  0.9642857 3.781513 0.099300 0.5192308
162    0.135  0.9642857 3.857143 0.100000 0.5294118
163    0.180  0.9230769 3.483309 0.128325 0.6428571
